"","ID","birth_year","latino_dum","race","race_text","sex","sex_orient","LI1_pointless","LI2_parentssaidso","LI3_forcedbyparents","LI4_forcedbyteachers","LI5_noschool","LI6_promisedgifts","LI7_avoidscolding","PEI1_lookbetter","PEI2_getbettergrade","PEI3_lookhardworker","PEI4_performbetter","PEI5_notlookincompetent","PEI6_provesmart","PEI7_notfeelfailure","PGI1_notlearnwell_","PGI2_mistake","PGI3_notfinishhw","IdI1_valuelearning","IdI2_impforgoals","IdI3_impstudyconsistently","IdI4_toreachfoals","InI1_knowpurpose","InI2_understandmyself","InI3_defineinterests","InI4_overcomechallenges","InI5_getconfidence","InI6_findpurpose","InI7_tohelpothers","InI8_findworld","InI9_findcareers","InI10_getdesiretolearn","InI11_wannalearn","CHECK1","EAA1","EAA2","EAA3","EAA4","EAA5","EAA6","EAA7","EAA8","EAA9","EAA10","EAA11","EAA12","EAA13","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","CS9","CHECK2","PER1","PER2","PER3","PER4","PER5","MA1","MA2","MA3","MA4","MA5","MA6","MA7","MA8","MA9","CHECK3","SA1","SA2","SA3","SA4","SA5","SA6","SA7","SA8","SA9","SA10","TA1","TA2","TA3","TA4","TA5","TA6","TA7","TA8","TA9","TA10","choice","type_of_task","atitude_towards_math","good_at_math","joy_min","joy_max","joy_mean","joy_fre","anx_min","anx_max","anx_mean","anx_fre","joy_percentage","anxiety_percentage","N_h","N_m","N_l","N_wrong","AvgScore","TotalScore","state","atitude_towards_literacy","good_at_literacy","sumscore","RT","Time_self_relience","Time_help_seeking","Time_low_persis","vec_variables"
"1",4138,1998,"N_latino","Black",NA,"Male","straight","Vdisagree","disagree","Vdisagree","Vdisagree","soso","Vdisagree","soso",2,3,1,3,2,1,3,2,4,3,4,5,5,5,3,2,4,4,5,3,4,3,4,3,4,"pass","Vagree",2,1,3,3,5,2,3,2,2,2,2,2,4,2,3,4,5,3,2,4,"disagree","pass","agree",4,3,3,4,"lowA",3,1,3,2,1,1,2,1,"pass","verymuch",1,4,2,1,1,2,4,1,4,2,3,1,2,3,2,3,1,3,"sometimes","N_Choice",0,1,1,23,99,78,18,22,99,81,204,1.71,19.35,4,5,0,9,1.444444444,13,"on site",NA,NA,16,39.56,173,443,0,NA
"2",4534,1999,"N_latino","Black",NA,"Female","straight","Vdisagree","disagree","disagree","disagree","Vdisagree","Vdisagree","soso",1,3,1,2,1,1,4,2,2,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,3,"pass","agree",1,2,3,1,4,5,1,2,1,1,1,1,2,4,3,4,5,1,1,3,"Vdisagree","pass","Vagree",4,2,2,5,"lowA",5,2,5,4,1,3,5,1,"pass","verymuch",1,4,3,1,2,1,4,1,4,1,4,1,1,2,1,4,1,4,"sometimes","Y_Choice",0,1,1,31,99,85,48,90,99,95,25,3.16,1.65,3,4,9,16,0.625,10,"on site",NA,NA,9,46.68,58,407,456,NA
"3",4552,1997,"N_latino","Asian",NA,"Male","gay","disagree","agree","disagree","agree","disagree","Vdisagree","disagree",4,4,4,3,3,2,4,2,2,4,4,5,4,5,4,3,4,4,4,1,4,2,2,3,5,"pass","agree",1,1,4,2,5,1,2,1,2,2,2,2,4,2,1,4,4,1,1,4,"Vdisagree","pass","agree",3,2,3,4,"lowA",4,1,4,3,1,1,2,1,"fail","somewhat",2,1,2,1,2,3,2,2,2,2,3,2,1,2,1,2,2,2,"sometimes","Y_Choice",0,1,1,0,0,0,0,24,99,78,78,0,19.31,3,2,3,8,1,8,"on site",3,3,17,33.36,130,190,181,NA
"4",4393,2000,"Y_latino","White",NA,"Female","straight","disagree","Vdisagree","Vdisagree","Vdisagree","soso","disagree","Vdisagree",1,3,3,2,1,1,5,3,4,5,5,5,5,5,5,5,4,5,4,4,4,4,5,4,5,"pass","Vagree",2,1,5,2,4,3,5,1,2,4,2,4,4,5,3,3,5,4,1,4,"disagree","pass","agree",5,4,5,5,"lowA",2,2,3,3,1,2,2,3,"pass","moderately",3,2,3,1,2,3,2,2,3,2,4,2,2,3,1,4,2,4,"never","N_Choice",0,1,1,31,98,86,7,90,99,95,30,5.11,21.9,0,3,9,12,0.25,3,"on site",3,3,13,42.4,0,210,461,NA
"5",4483,2000,"N_latino","White",NA,"Female","straight","Vdisagree","agree","disagree","disagree","disagree","disagree","soso",4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,"pass","Vagree",1,2,4,2,5,3,3,2,2,2,2,2,4,4,4,2,4,4,5,4,"Vagree","pass","agree",4,4,4,4,"lowA",3,1,2,2,1,1,2,1,"pass","somewhat",1,2,2,1,2,1,3,2,3,2,2,3,2,2,2,3,2,2,"sometimes","Y_Choice",0,1,1,95,99,98,33,23,100,68,192,6.09,35.42,2,3,7,12,0.583333333,7,"on site",3,3,13,52,83,368,109,NA
"6",3982,2000,"N_latino","White",NA,"Female","straight","Vdisagree","disagree","Vdisagree","disagree","Vdisagree","Vdisagree","Vdisagree",2,5,2,2,3,3,4,4,2,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,4,"pass","Vagree",1,1,5,2,5,2,3,1,1,1,1,2,5,2,2,4,5,2,1,5,"Vdisagree","pass","agree",4,5,4,5,"lowA",2,1,2,2,1,1,1,1,"pass","verymuch",1,4,3,1,1,1,4,3,4,2,3,2,2,3,2,3,1,4,"never","N_Choice",0,1,1,86,99,94,5,23,99,65,62,1.88,23.31,0,2,5,7,0.285714286,2,"on site",3,3,18,47.56,0,158,396,NA
"7",3865,1999,"N_latino","White",NA,"Female","straight","Vdisagree","agree","Vdisagree","Vdisagree","Vdisagree","Vdisagree","Vagree",1,1,5,1,5,5,4,2,1,5,5,5,5,5,5,3,5,5,4,5,5,4,5,5,5,"pass","Vagree",1,1,5,4,5,1,5,2,4,4,1,1,3,4,5,1,5,5,1,4,"Vagree","pass","Vagree",5,4,5,5,"lowA",5,3,5,5,1,5,5,1,"pass","somewhat",3,2,4,1,1,1,1,3,2,3,3,4,2,4,1,4,2,3,"sometimes","Y_Choice",0,0,0,99,99,99,7,22,92,60,48,1.62,11.14,0,8,5,13,0.615384615,8,"on site",1,1,12,43,0,408,273,NA
"8",4630,2000,"N_latino","White",NA,"Female","straight","Vdisagree","agree","Vdisagree","Vdisagree","Vdisagree","agree","agree",1,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,"pass","Vagree",1,1,5,1,5,1,4,1,1,2,1,1,4,5,5,2,5,5,5,4,"agree","pass","Vagree",5,5,5,5,"lowA",3,1,2,5,1,2,2,1,"pass","somewhat",4,2,2,1,2,1,2,4,2,3,2,3,2,3,4,2,4,3,"often","Y_Choice",0,1,1,21,99,68,27,22,99,81,326,2,24.18,1,6,0,7,1.142857143,8,"on site",0,3,18,46.76,29,489,0,NA
"9",3961,2000,"N_latino","Black",NA,"Female","straight","disagree","soso","Vdisagree","Vdisagree","disagree","Vdisagree","disagree",1,1,1,1,4,2,2,3,2,4,5,4,4,5,4,4,5,4,4,4,5,4,4,4,5,"pass","agree",1,1,4,3,4,1,2,2,2,2,1,2,4,4,2,4,5,4,3,5,"agree","pass","agree",5,4,2,5,"someA",2,1,2,2,1,1,2,1,"pass","verymuch",1,4,1,1,1,1,4,1,4,2,3,2,1,2,2,3,2,4,"sometimes","Y_Choice",0,1,1,29,99,88,27,90,99,95,126,2.16,10.07,3,3,8,14,0.642857143,9,"on site",0,0,11,53.88,167,400,174,NA
"10",4183,1999,"N_latino","White",NA,"Female","straight","disagree","agree","disagree","disagree","Vdisagree","soso","agree",3,2,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,3,5,3,5,2,4,3,4,"pass","agree",2,2,4,2,5,2,4,3,2,2,2,1,4,4,4,4,4,2,2,4,"disagree","pass","agree",4,3,3,4,"lowA",2,1,2,2,1,1,1,2,"pass","verymuch",1,3,2,1,1,2,3,1,3,2,3,2,1,2,1,4,1,3,"sometimes","N_Choice",0,1,1,22,27,24,2,90,99,96,66,0.59,19.58,2,1,2,5,1,5,"on site",3,3,20,34.4,87,36,273,NA
