,ID,BIRTH_YEAR,LATINO_DUM,RACE,RACE_TEXT,SEX,SEX_ORIENT,LI1_POINTLESS,LI2_PARENTSSAIDSO,LI3_FORCEDBYPARENTS,LI4_FORCEDBYTEACHERS,LI5_NOSCHOOL,LI6_PROMISEDGIFTS,LI7_AVOIDSCOLDING,PEI1_LOOKBETTER,PEI2_GETBETTERGRADE,PEI3_LOOKHARDWORKER,PEI4_PERFORMBETTER,PEI5_NOTLOOKINCOMPETENT,PEI6_PROVESMART,PEI7_NOTFEELFAILURE,PGI1_NOTLEARNWELL_,PGI2_MISTAKE,PGI3_NOTFINISHHW,IDI1_VALUELEARNING,IDI2_IMPFORGOALS,IDI3_IMPSTUDYCONSISTENTLY,IDI4_TOREACHFOALS,INI1_KNOWPURPOSE,INI2_UNDERSTANDMYSELF,INI3_DEFINEINTERESTS,INI4_OVERCOMECHALLENGES,INI5_GETCONFIDENCE,INI6_FINDPURPOSE,INI7_TOHELPOTHERS,INI8_FINDWORLD,INI9_FINDCAREERS,INI10_GETDESIRETOLEARN,INI11_WANNALEARN,CHECK1,EAA1,EAA2,EAA3,EAA4,EAA5,EAA6,EAA7,EAA8,EAA9,EAA10,EAA11,EAA12,EAA13,CS1,CS2,CS3,CS4,CS5,CS6,CS7,CS8,CS9,CHECK2,PER1,PER2,PER3,PER4,PER5,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,CHECK3,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SA10,TA1,TA2,TA3,TA4,TA5,TA6,TA7,TA8,TA9,TA10,CHOICE,TYPE_OF_TASK,ATITUDE_TOWARDS_MATH,GOOD_AT_MATH,JOY_MIN,JOY_MAX,JOY_MEAN,JOY_FRE,ANX_MIN,ANX_MAX,ANX_MEAN,ANX_FRE,JOY_PERCENTAGE,ANXIETY_PERCENTAGE,N_H,N_M,N_L,N_WRONG,AVGSCORE,TOTALSCORE,STATE,ATITUDE_TOWARDS_LITERACY,GOOD_AT_LITERACY,SUMSCORE,RT,TIME_SELF_RELIENCE,TIME_HELP_SEEKING,TIME_LOW_PERSIS,VEC_VARIABLES
1,4138,1998,N_latino,Black,NA,Male,straight,Vdisagree,disagree,Vdisagree,Vdisagree,soso,Vdisagree,soso,disagree,soso,Vdisagree,soso,disagree,Vdisagree,soso,disagree,agree,soso,agree,Vagree,Vagree,Vagree,soso,disagree,agree,agree,Vagree,soso,agree,soso,agree,soso,agree,pass,Vagree,disagree,Vdisagree,soso,soso,Vagree,disagree,soso,disagree,disagree,disagree,disagree,disagree,agree,disagree,soso,agree,Vagree,soso,disagree,agree,disagree,pass,agree,agree,soso,soso,agree,lowA,moderateA,lowA,moderateA,someA,lowA,lowA,someA,lowA,pass,verymuch,notatall,verymuch,somewhat,notatall,notatall,somewhat,verymuch,notatall,verymuch,sometimes,often,never,sometimes,often,sometimes,often,never,often,sometimes,N_Choice,0,1,1,23,99,78,18,22,99,81,204,1.71,19.35,4,5,0,9,1.444444444,13,on site,NA,NA,16,39.56,173,443,0,NA
2,4534,1999,N_latino,Black,NA,Female,straight,Vdisagree,disagree,disagree,disagree,Vdisagree,Vdisagree,soso,Vdisagree,soso,Vdisagree,disagree,Vdisagree,Vdisagree,agree,disagree,disagree,Vagree,Vagree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,agree,Vagree,Vagree,Vagree,agree,soso,pass,agree,Vdisagree,disagree,soso,Vdisagree,agree,Vagree,Vdisagree,disagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,disagree,agree,soso,agree,Vagree,Vdisagree,Vdisagree,soso,Vdisagree,pass,Vagree,agree,disagree,disagree,Vagree,lowA,highA,someA,highA,abitA,lowA,moderateA,highA,lowA,pass,verymuch,notatall,verymuch,moderately,notatall,somewhat,notatall,verymuch,notatall,verymuch,never,always,never,never,sometimes,never,always,never,always,sometimes,Y_Choice,0,1,1,31,99,85,48,90,99,95,25,3.16,1.65,3,4,9,16,0.625,10,on site,NA,NA,9,46.68,58,407,456,NA
3,4552,1997,N_latino,Asian,NA,Male,gay,disagree,agree,disagree,agree,disagree,Vdisagree,disagree,agree,agree,agree,soso,soso,disagree,agree,disagree,disagree,agree,agree,Vagree,agree,Vagree,agree,soso,agree,agree,agree,Vdisagree,agree,disagree,disagree,soso,Vagree,pass,agree,Vdisagree,Vdisagree,agree,disagree,Vagree,Vdisagree,disagree,Vdisagree,disagree,disagree,disagree,disagree,agree,disagree,Vdisagree,agree,agree,Vdisagree,Vdisagree,agree,Vdisagree,pass,agree,soso,disagree,soso,agree,lowA,abitA,lowA,abitA,moderateA,lowA,lowA,someA,lowA,fail,somewhat,somewhat,notatall,somewhat,notatall,somewhat,moderately,somewhat,somewhat,somewhat,sometimes,often,sometimes,never,sometimes,never,sometimes,sometimes,sometimes,sometimes,Y_Choice,0,1,1,0,0,0,0,24,99,78,78,0,19.31,3,2,3,8,1,8,on site,3,3,17,33.36,130,190,181,NA
4,4393,2000,Y_latino,White,NA,Female,straight,disagree,Vdisagree,Vdisagree,Vdisagree,soso,disagree,Vdisagree,Vdisagree,soso,soso,disagree,Vdisagree,Vdisagree,Vagree,soso,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,agree,agree,agree,agree,Vagree,agree,Vagree,pass,Vagree,disagree,Vdisagree,Vagree,disagree,agree,soso,Vagree,Vdisagree,disagree,agree,disagree,agree,agree,Vagree,soso,soso,Vagree,agree,Vdisagree,agree,disagree,pass,agree,Vagree,agree,Vagree,Vagree,lowA,someA,someA,moderateA,moderateA,lowA,someA,someA,moderateA,pass,moderately,moderately,somewhat,moderately,notatall,somewhat,moderately,somewhat,somewhat,moderately,sometimes,always,sometimes,sometimes,often,never,always,sometimes,always,never,N_Choice,0,1,1,31,98,86,7,90,99,95,30,5.11,21.9,0,3,9,12,0.25,3,on site,3,3,13,42.4,0,210,461,NA
5,4483,2000,N_latino,White,NA,Female,straight,Vdisagree,agree,disagree,disagree,disagree,disagree,soso,agree,agree,agree,agree,agree,agree,agree,agree,agree,Vagree,agree,agree,agree,agree,agree,agree,agree,Vagree,Vagree,agree,agree,agree,agree,agree,Vagree,pass,Vagree,Vdisagree,disagree,agree,disagree,Vagree,soso,soso,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,disagree,agree,agree,Vagree,agree,Vagree,pass,agree,agree,agree,agree,agree,lowA,moderateA,lowA,someA,someA,lowA,lowA,someA,lowA,pass,somewhat,notatall,somewhat,somewhat,notatall,somewhat,notatall,moderately,somewhat,moderately,sometimes,sometimes,often,sometimes,sometimes,sometimes,often,sometimes,sometimes,sometimes,Y_Choice,0,1,1,95,99,98,33,23,100,68,192,6.09,35.42,2,3,7,12,0.583333333,7,on site,3,3,13,52,83,368,109,NA
6,3982,2000,N_latino,White,NA,Female,straight,Vdisagree,disagree,Vdisagree,disagree,Vdisagree,Vdisagree,Vdisagree,disagree,Vagree,disagree,disagree,soso,soso,agree,agree,disagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,Vagree,agree,Vagree,agree,agree,agree,agree,pass,Vagree,Vdisagree,Vdisagree,Vagree,disagree,Vagree,disagree,soso,Vdisagree,Vdisagree,Vdisagree,Vdisagree,disagree,Vagree,disagree,disagree,agree,Vagree,disagree,Vdisagree,Vagree,Vdisagree,pass,agree,agree,Vagree,agree,Vagree,lowA,someA,lowA,someA,someA,lowA,lowA,lowA,lowA,pass,verymuch,notatall,verymuch,moderately,notatall,notatall,notatall,verymuch,moderately,verymuch,sometimes,often,sometimes,sometimes,often,sometimes,often,never,always,never,N_Choice,0,1,1,86,99,94,5,23,99,65,62,1.88,23.31,0,2,5,7,0.285714286,2,on site,3,3,18,47.56,0,158,396,NA
7,3865,1999,N_latino,White,NA,Female,straight,Vdisagree,agree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,Vagree,Vdisagree,Vdisagree,Vagree,Vdisagree,Vagree,Vagree,agree,disagree,Vdisagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,soso,Vagree,Vagree,agree,Vagree,Vagree,agree,Vagree,Vagree,Vagree,pass,Vagree,Vdisagree,Vdisagree,Vagree,agree,Vagree,Vdisagree,Vagree,disagree,agree,agree,Vdisagree,Vdisagree,soso,agree,Vagree,Vdisagree,Vagree,Vagree,Vdisagree,agree,Vagree,pass,Vagree,Vagree,agree,Vagree,Vagree,lowA,highA,moderateA,highA,highA,lowA,highA,highA,lowA,pass,somewhat,moderately,somewhat,verymuch,notatall,notatall,notatall,notatall,moderately,somewhat,often,often,always,sometimes,always,never,always,sometimes,often,sometimes,Y_Choice,0,0,0,99,99,99,7,22,92,60,48,1.62,11.14,0,8,5,13,0.615384615,8,on site,1,1,12,43,0,408,273,NA
8,4630,2000,N_latino,White,NA,Female,straight,Vdisagree,agree,Vdisagree,Vdisagree,Vdisagree,agree,agree,Vdisagree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,agree,Vagree,pass,Vagree,Vdisagree,Vdisagree,Vagree,Vdisagree,Vagree,Vdisagree,agree,Vdisagree,Vdisagree,disagree,Vdisagree,Vdisagree,agree,Vagree,Vagree,disagree,Vagree,Vagree,Vagree,agree,agree,pass,Vagree,Vagree,Vagree,Vagree,Vagree,lowA,moderateA,lowA,someA,highA,lowA,someA,someA,lowA,pass,somewhat,verymuch,somewhat,somewhat,notatall,somewhat,notatall,somewhat,verymuch,somewhat,often,sometimes,often,sometimes,often,always,sometimes,always,often,often,Y_Choice,0,1,1,21,99,68,27,22,99,81,326,2,24.18,1,6,0,7,1.142857143,8,on site,0,3,18,46.76,29,489,0,NA
9,3961,2000,N_latino,Black,NA,Female,straight,disagree,soso,Vdisagree,Vdisagree,disagree,Vdisagree,disagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,agree,disagree,disagree,soso,disagree,agree,Vagree,agree,agree,Vagree,agree,agree,Vagree,agree,agree,agree,Vagree,agree,agree,agree,Vagree,pass,agree,Vdisagree,Vdisagree,agree,soso,agree,Vdisagree,disagree,disagree,disagree,disagree,Vdisagree,disagree,agree,agree,disagree,agree,Vagree,agree,soso,Vagree,agree,pass,agree,Vagree,agree,disagree,Vagree,someA,someA,lowA,someA,someA,lowA,lowA,someA,lowA,pass,verymuch,notatall,verymuch,notatall,notatall,notatall,notatall,verymuch,notatall,verymuch,sometimes,often,sometimes,never,sometimes,sometimes,often,sometimes,always,sometimes,Y_Choice,0,1,1,29,99,88,27,90,99,95,126,2.16,10.07,3,3,8,14,0.642857143,9,on site,0,0,11,53.88,167,400,174,NA
10,4183,1999,N_latino,White,NA,Female,straight,disagree,agree,disagree,disagree,Vdisagree,soso,agree,soso,disagree,agree,soso,agree,agree,agree,agree,agree,agree,agree,Vagree,agree,agree,agree,agree,agree,soso,Vagree,soso,Vagree,disagree,agree,soso,agree,pass,agree,disagree,disagree,agree,disagree,Vagree,disagree,agree,soso,disagree,disagree,disagree,Vdisagree,agree,agree,agree,agree,agree,disagree,disagree,agree,disagree,pass,agree,agree,soso,soso,agree,lowA,someA,lowA,someA,someA,lowA,lowA,lowA,someA,pass,verymuch,notatall,moderately,somewhat,notatall,notatall,somewhat,moderately,notatall,moderately,sometimes,often,sometimes,never,sometimes,never,always,never,often,sometimes,N_Choice,0,1,1,22,27,24,2,90,99,96,66,0.59,19.58,2,1,2,5,1,5,on site,3,3,20,34.4,87,36,273,NA
11,4654,2001,N_latino,White,NA,Female,straight,Vdisagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,agree,Vagree,Vagree,agree,agree,disagree,disagree,agree,agree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,Vagree,agree,Vagree,Vagree,Vagree,Vagree,Vagree,Vdisagree,Vagree,pass,Vagree,Vdisagree,Vdisagree,Vagree,Vdisagree,Vagree,disagree,agree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,Vagree,disagree,Vdisagree,agree,Vagree,agree,Vdisagree,Vagree,agree,pass,Vagree,Vagree,Vagree,soso,Vagree,lowA,someA,lowA,lowA,highA,lowA,someA,moderateA,lowA,pass,verymuch,notatall,verymuch,notatall,notatall,notatall,notatall,verymuch,somewhat,verymuch,never,always,sometimes,never,sometimes,sometimes,always,sometimes,always,never,Y_Choice,0,1,1,36,99,84,9,90,99,96,34,4.74,17.89,1,5,0,6,1.166666667,7,on site,3,3,19,48.28,26,515,0,NA
12,4315,2000,N_latino,White,NA,Female,straight,soso,soso,soso,disagree,soso,Vdisagree,soso,disagree,soso,soso,disagree,disagree,disagree,agree,disagree,soso,agree,agree,disagree,disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree,agree,soso,disagree,disagree,agree,pass,soso,disagree,disagree,soso,soso,agree,soso,disagree,disagree,disagree,soso,disagree,disagree,Vagree,soso,soso,soso,Vagree,soso,soso,soso,disagree,pass,soso,agree,soso,Vdisagree,agree,someA,abitA,someA,moderateA,abitA,someA,moderateA,abitA,someA,pass,notatall,moderately,notatall,moderately,notatall,notatall,moderately,somewhat,somewhat,somewhat,sometimes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes,often,often,N_Choice,0,1,1,34,99,90,23,21,99,66,38,17.16,28.36,0,7,4,11,0.636363636,7,on site,3,3,14,41.52,0,444,230,NA
13,4156,2000,N_latino,White,NA,Female,straight,Vdisagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,Vdisagree,disagree,soso,disagree,agree,agree,agree,agree,agree,agree,agree,Vagree,agree,Vagree,soso,Vagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,pass,Vagree,disagree,disagree,agree,disagree,agree,disagree,agree,Vdisagree,disagree,disagree,disagree,Vdisagree,soso,Vdisagree,disagree,agree,agree,soso,disagree,soso,Vdisagree,pass,agree,Vagree,agree,disagree,agree,lowA,abitA,lowA,lowA,someA,lowA,moderateA,lowA,lowA,pass,verymuch,notatall,verymuch,notatall,notatall,notatall,somewhat,verymuch,notatall,verymuch,never,often,sometimes,never,always,sometimes,often,sometimes,often,often,N_Choice,0,1,1,24,99,74,8,69,99,93,113,0.84,11.93,0,13,3,16,0.8125,13,on site,3,3,9,50.04,0,795,156,NA
14,4717,2000,N_latino,White,NA,Female,straight,Vdisagree,Vdisagree,Vdisagree,disagree,Vdisagree,Vdisagree,Vdisagree,disagree,agree,soso,agree,agree,agree,soso,soso,agree,Vagree,Vagree,Vagree,agree,agree,soso,soso,agree,agree,Vagree,disagree,Vagree,soso,Vagree,agree,agree,pass,Vagree,Vdisagree,disagree,agree,soso,agree,disagree,Vagree,Vdisagree,disagree,disagree,disagree,disagree,Vagree,agree,Vdisagree,agree,Vagree,Vdisagree,disagree,Vagree,disagree,pass,agree,agree,disagree,Vagree,agree,someA,highA,lowA,highA,abitA,lowA,lowA,lowA,moderateA,pass,moderately,notatall,moderately,moderately,notatall,verymuch,verymuch,moderately,moderately,moderately,often,always,sometimes,sometimes,often,sometimes,sometimes,never,sometimes,often,N_Choice,0,0,1,0,0,0,0,22,98,57,28,0,5.61,1,2,11,14,0.285714286,4,on site,3,3,11,30.48,25,63,339,NA
